generation,environment,reward,intrinsic_fitness,environment_match,maintenance,memory_slots,memory_retrieved,retrieval_similarity,retrieval_age,witness_recoveries_total,reward_baseline,policy_norm,policy_change_norm,recall_step_norm,exploration_step_norm,chosen_probe,probe_count,base_probe_reward,explore_probe_reward,spectral_novelty,spectral_mismatch,mean_resource_after_forcing,policy_formation_drive,effective_formation_drive,policy_neighbor_scale,effective_neighbor_scale,policy_resource_blend,effective_resource_blend,policy_topology_blend,effective_topology_blend,policy_export_cost,effective_export_cost
51,learning_poor,0.4432682574160115,0.7328039457700255,0.2336044830906911,0.588512715933787,0,False,0.0,-1,0,0.5693995459486374,0.0,0.0,0.0,0.10999999999999999,fixed_control,1,0.4432682574160115,,True,0.00015464061168033358,0.5637491131834587,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
52,learning_poor,0.4397081782293174,0.724327566754087,0.2336044830906911,0.5720199314882364,0,False,0.0,-1,0,0.553836581822319,0.0,0.0,0.0,0.022824510779677457,fixed_control,1,0.4397081782293174,,True,0.00014022365803781546,0.5398291932925905,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
53,learning_poor,0.4374323453349619,0.7189089170056214,0.2336044830906911,0.5615360745685637,0,False,0.0,-1,0,0.5398680734438361,0.0,0.0,0.0,0.10729055407058143,fixed_control,1,0.4374323453349619,,True,0.00013493143209505077,0.5246704513185114,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
54,learning_poor,0.4355972675464026,0.7145396841757186,0.2336044830906911,0.554701125320549,0,False,0.0,-1,0,0.5273555767361441,0.0,0.0,0.0,0.0808714979114723,fixed_control,1,0.4355972675464026,,True,0.00013363874683885082,0.5150255023401399,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
55,learning_poor,0.43464661003251637,0.7122762139045608,0.2336044830906911,0.5501365526654559,0,False,0.0,-1,0,0.5162305007317087,0.0,0.0,0.0,0.07412349931133015,fixed_control,1,0.43464661003251637,,True,0.00013709385318056292,0.5087443411264969,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
56,learning_poor,0.4339464431994129,0.710609150016219,0.2336044830906911,0.5471235391593596,0,False,0.0,-1,0,0.5063564138278333,0.0,0.0,0.0,0.0472683305978565,fixed_control,1,0.4339464431994129,,True,0.0001371420162184734,0.5045454559124233,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
57,learning_poor,0.43358034600913165,0.7097374900393592,0.2336044830906911,0.545435344624138,0,False,0.0,-1,0,0.4976232856895891,0.0,0.0,0.0,0.06731310277223292,fixed_control,1,0.43358034600913165,,True,0.0001342395541799594,0.5017785774176587,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
58,learning_poor,0.4333209375787307,0.7091198509193568,0.2336044830906911,0.5442254677755526,0,False,0.0,-1,0,0.4899070039162861,0.0,0.0,0.0,0.06714502511324183,fixed_control,1,0.4333209375787307,,True,0.00013498254342922072,0.5002171988735835,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
59,learning_poor,0.4326816309858904,0.7075976923649752,0.2336044830906911,0.5433940153587637,0,False,0.0,-1,0,0.48303995916463865,0.0,0.0,0.0,0.10999999999999999,fixed_control,1,0.4326816309858904,,True,0.00013398855465287152,0.4990969542575674,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
60,learning_poor,0.43258005599036664,0.7073558471375376,0.2336044830906911,0.5425018379973614,0,False,0.0,-1,0,0.476984770783726,0.0,0.0,0.0,0.0455229573839149,fixed_control,1,0.43258005599036664,,True,0.00013752472166959995,0.4983343053658724,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
