generation,environment,identity_closure,historical_present_distance,identity_step_distance,raw_perspective_step_distance,self_index_similarity,ablated_self_index_similarity,transverse_adaptation
29,perspective_A,True,0.1067994750813044,0.0037379816278456613,0.005065174743431502,0.986915676282825,0.9407129559467494,0.08446201629574662
30,perspective_A,True,0.1080801210759429,0.0037828042376580086,0.005020600997606278,0.9856251263659003,0.9381033050439704,0.08502187876646707
31,perspective_A,True,0.10922442764544567,0.003822854967590603,0.004929182464586599,0.9842749833971269,0.9355363177948979,0.08545045108706918
32,perspective_B,True,0.11022455154196031,0.06081922143626589,0.004824323205625858,0.9576782485221559,0.9330050594729381,0.07010372709530666
33,perspective_B,True,0.09271943893363141,0.0032451803626770987,0.004718132881520324,0.9570221916247565,0.930513477075489,0.06984577966100437
34,perspective_B,True,0.09340129751563456,0.0032690454130472136,0.004615474890289424,0.9562830509286145,0.9280658428097915,0.06958325455939202
35,perspective_B,True,0.09404730433192396,0.0032916556516173288,0.0045347203838157985,0.9554658008543919,0.9256523031709214,0.06933143989199583
36,perspective_B,True,0.09465982873283137,0.003313094005649096,0.004461694638550948,0.9545751354540233,0.9232693829163997,0.06909196496644741
37,perspective_B,True,0.09521738988037466,0.0033326086458131195,0.00437663665677619,0.9536158598466792,0.9209311314423132,0.06883749217795845
38,perspective_B,True,0.09574960240360193,0.0033512360841260755,0.004318781712482753,0.952592125090643,0.9186164195687844,0.06860115944745696
39,perspective_B,True,0.09626571622924239,0.0033693000680234814,0.004273766077536054,0.951507947277434,0.916328677855143,0.06837789121369497
40,perspective_C,True,0.09663480522569373,0.0033822181828992736,0.004115945132560082,0.9503687322172953,0.9141233100622002,0.06807150335789469
41,perspective_C,True,0.09696711007267428,0.003393848852543609,0.004055315875661263,0.9491780059801834,0.9119364399564613,0.06778125524115858
42,perspective_C,True,0.09726374604026668,0.0034042311114093364,0.0039992906936350955,0.9479390857616432,0.9097682195957636,0.06750218663545254
43,perspective_C,True,0.09748661955616805,0.003412031684465884,0.00391393827898985,0.9466559214361601,0.907650263877085,0.0671825723839481
44,perspective_C,True,0.09768401320903453,0.0034189404623162175,0.0038678764934841005,0.9453315296031185,0.905551424430478,0.06687428346671917
45,perspective_C,True,0.09781440928712679,0.0034235043250494487,0.003789808884474195,0.9439694235932182,0.9034963191468288,0.0665331406275811
46,perspective_C,True,0.09790923435224426,0.003426823202328553,0.0037370195854707485,0.9425725660288846,0.9014692377952597,0.06618718930174318
47,perspective_C,True,0.09796501921289116,0.003428775672451211,0.0036822723933652335,0.9411438384526084,0.8994721416183271,0.06583174848263192
48,perspective_A,True,0.09811038358664255,0.003433863425532476,0.0037405960109912705,0.939684457582994,0.8974573100266663,0.06554934113246348
