generation,environment,reward,maintenance,environment_match,world_coherent,organism_coherent,world_self_distance,world_self_corridor,self_mediator_strength,self_reference_reachable,organism_recurrent_coupling,policy_to_self_coupling,recurrent_rho,self_model_closure,self_model_action_used,self_model_action_intervention,action_source,chosen_candidate_index,candidate_count,prediction_error,persistence_baseline_error,policy_change_norm,memory_slots,mean_resource,retained_fraction,export_fraction,self_model_excess_export_norm,self_model_excess_exports_total
34,self_world_B,0.7952110406961154,0.5609618918757729,0.8457776333557042,True,True,0.8884684873252686,True,0.3643420450262896,False,1.4014590747814433,0.9311909067259811,0.9932220906522153,False,False,False,model_free,0,2,0.015807695781415613,0.014079195487608217,0.04682694252810131,3,0.5742794783629548,0.9586095783261803,0.041390421673819476,0.0,0
35,self_world_B,0.7926979027622056,0.5553579917805541,0.8457776333557042,True,True,0.8835291185110147,True,0.3647277636417671,False,1.4025967875625047,0.9342075962150531,0.9932904497482117,False,False,False,model_free,0,2,0.006556594493768128,0.0030933078030478157,1.734723475976807e-18,3,0.5686374578497339,0.9579014183771875,0.0420985816228126,0.0,0
36,self_world_B,0.8017245969711213,0.5540136994040511,0.864454092845159,True,True,0.8806731468467551,True,0.36494226788493567,False,1.398917972582293,0.9440337602816093,0.9933307899387693,False,False,False,model_free,1,2,0.008875041660316144,0.0032499415916980878,0.040192349221306545,3,0.5674100678659766,0.957789610272425,0.04221038972757508,0.0,0
37,self_world_B,0.791420649425549,0.5523469109011955,0.8457776333557042,True,True,0.8800754331217505,True,0.36500674681096595,False,1.3982495703269777,0.9478922623625858,0.9934530612375161,False,False,False,model_free,0,2,0.00677806204652794,0.0033009679230547734,0.040192349221306545,3,0.565763385984627,0.9576062858123957,0.042393714187604445,0.0,0
38,self_world_B,0.7910806992751427,0.5517549279657492,0.8457776333557042,True,True,0.8792742822954378,True,0.36507802893187885,False,1.398483381195656,0.9507309631680142,0.9935555023756497,False,False,False,model_free,0,2,0.00706057658943123,0.0003174792361663454,1.734723475976807e-18,3,0.5651964528771463,0.9575592258539241,0.04244077414607602,0.0,0
39,self_world_B,0.7842675643966237,0.551532132981772,0.8339587381734405,True,True,0.8790115772661122,True,0.36510811177259606,False,1.4031054591171133,1.0015070312846919,0.9935388972290247,False,False,False,model_free,1,2,0.01775531705692067,0.020610894372076135,0.0864435661308094,3,0.5649725171747464,0.9576131537423527,0.04238684625764727,0.0,0
40,self_world_C,0.4966294304951019,0.535998503996949,0.2900203249953492,True,True,0.8424301711361416,True,0.2122961108502411,False,1.415021155371587,1.0059665643870173,0.9941236838073592,False,False,False,model_free,0,2,0.012651389321449361,0.013822891727962373,0.10999999999999999,3,0.5490768294731018,0.9556541348663297,0.044345865133670295,0.0,0
41,self_world_C,0.48584907298646884,0.5259980824226309,0.2737448976051473,True,True,0.8317167976534939,True,0.2132233401084099,False,1.4113948888178933,1.0060509484410807,0.9945329660350821,False,False,False,model_free,0,2,0.006211006629959717,0.006923766443005775,0.037978758397873166,3,0.5387910323024939,0.9543793900084823,0.04562060999151771,0.0,0
42,self_world_C,0.4760310484537622,0.5209720854082704,0.25660758498354136,True,True,0.8250384579474758,True,0.21386000595236432,False,1.4052491775446392,0.9211074289394374,0.9947467286304164,False,False,False,model_free,1,2,0.005085871409323884,0.003285793309380546,0.06987521965017907,3,0.5335995082838688,0.9536591008063954,0.046340899193604825,0.0,0
43,self_world_C,0.48416318041059403,0.5188653719681129,0.2737448976051473,True,True,0.8216769562706776,True,0.21417120365418496,False,1.4062819217200435,0.9192550349126497,0.9948360141245115,False,False,False,model_free,0,2,0.0013600719908887294,0.0020563745260805673,0.06987521965017907,3,0.5313384317770872,0.9534598868806601,0.04654011311934017,0.0,0
44,self_world_C,0.48382844853020546,0.518326620049648,0.2737448976051473,True,True,0.8203559523589979,True,0.2143365575057938,False,1.4063962979707676,0.9183280730815112,0.9949012033296529,False,False,False,model_free,0,2,0.0010208035600909068,0.0005777842239413982,0.0,3,0.5306790105352593,0.953463285762423,0.04653671423757702,0.0,0
45,self_world_C,0.4506139190286693,0.5129243727674442,0.21243603978665443,True,True,0.8200487361288847,True,0.21439806969806488,False,1.4135086468205602,0.9578205479919393,0.9952468493857277,False,False,False,model_free,1,2,0.028185048222711204,0.030916591525779292,0.11000000000000003,3,0.5248472894414894,0.9527926850803624,0.04720731491963762,0.0,0
46,self_world_C,0.4831631901885587,0.5150570175546909,0.2737448976051473,True,True,0.8165542010423162,True,0.21478744464224525,False,1.4160783071387206,0.959833145806702,0.9952126942828228,False,False,False,model_free,0,2,0.027462559934075727,0.030745432369341852,0.11,3,0.5269481748990402,0.9531247457964244,0.04687525420357541,0.0,0
47,self_world_C,0.4835725597001028,0.5161708358387922,0.2737448976051473,True,True,0.8179364422402581,True,0.2146612209900527,False,1.4153090100524348,0.9601718403473982,0.9952355135571125,False,False,False,model_free,0,2,0.001757165833799041,0.0006020204587928231,1.6273148661314594e-17,3,0.5280074809391792,0.953326786986114,0.0466732130138862,0.0,0
48,self_world_A,0.7144751061395569,0.553989267329787,0.7000419468139824,True,True,0.9336946793765603,True,0.6024990382369904,False,1.4139061334779208,0.9443900068719385,0.9952919985977211,False,False,False,model_free,1,2,0.026400833619934127,0.0364901590763493,0.10999999999999999,3,0.5665279209895476,0.9583096257516157,0.041690374248384364,0.0,0
49,self_world_A,0.7198683550550555,0.5795522003791854,0.6983615913542266,True,True,0.9368022028363538,True,0.6063978680809291,False,1.4110573060753713,0.9427519344798323,0.9954900411532858,False,False,False,model_free,0,2,0.009620135922945758,0.017326754880697837,0.057387086743983386,3,0.5925547197512132,0.9613563189452233,0.03864368105477671,0.0,0
50,self_world_A,0.7240791898007409,0.5966296339463667,0.6983615913542266,True,True,0.9403485170595961,True,0.608945528802515,False,1.4119787858700752,0.9419785868728898,0.9955214614532311,False,False,False,model_free,0,2,0.00593976473365786,0.009497411520895758,6.505213034913027e-19,3,0.6099243883499724,0.9632590798545666,0.03674092014543349,0.0,0
51,self_world_A,0.7521278868509766,0.6073146104007681,0.7468107822733089,True,True,0.9433703890675074,True,0.6106106429306976,False,1.42576064111156,0.8509474714410376,0.9955378534936932,False,False,False,model_free,1,2,0.006896316347421518,0.007942472828286175,0.10153675940487779,3,0.620669832300228,0.9644070804514865,0.03559291954851352,0.0,0
52,self_world_A,0.739756890436168,0.6151229821298544,0.7191800885868572,True,True,0.9455358535932271,True,0.6116329291265026,False,1.4276580930745104,0.858002119851878,0.9955001706939602,False,False,False,model_free,0,2,0.008810129806139688,0.00507552976525089,0.06295279083102423,3,0.628554947400873,0.965236897020428,0.03476310297957191,0.0,0
53,self_world_A,0.7410876422149392,0.6202611511259365,0.7191800885868572,True,True,0.9472604125250907,True,0.6123797203914787,False,1.429432916996069,0.8634469840589722,0.9954633620909443,False,False,False,model_free,0,2,0.009210964555784905,0.0028118781333691446,3.576224061345498e-18,3,0.6337236281002976,0.9657669426103719,0.03423305738962819,0.0,0
54,self_world_A,0.727920045720725,0.6231197356428151,0.6922564580750327,True,True,0.9484487258061332,True,0.6128655223596317,False,1.449635689225774,0.6818623192787422,0.9954774107662396,False,False,False,model_free,1,2,0.009644475203488366,0.0037650553576697105,0.09814231751011261,3,0.6366412243204053,0.9659840753012566,0.03401592469874339,0.0,0
55,self_world_A,0.7425093287172624,0.6253815356970412,0.7191800885868572,True,True,0.9490568955946241,True,0.613117788381896,False,1.4484639818208929,0.6814463403288659,0.9954440839825698,False,False,False,model_free,0,2,0.010045684690801785,0.003616443863981308,0.09814231751011261,3,0.6388800487425413,0.9662331502608941,0.033766849739105945,0.0,0
