environment,export_cost_mean,export_cost_std,export_cost_target,fission_threshold_mean,fission_threshold_std,fission_threshold_target,formation_drive_mean,formation_drive_std,formation_drive_target,generation,neighbor_scale_mean,neighbor_scale_std,neighbor_scale_target,node_birth_threshold_mean,node_birth_threshold_std,node_birth_threshold_target,resource_blend_mean,resource_blend_std,resource_blend_target,topology_blend_mean,topology_blend_std,topology_blend_target
resource_rich_connected,0.1043492344270766,0.009288135368060429,0.12,0.21398722787838154,0.018605378860136138,0.235,1.4210614657086373,0.12183998043827556,1.34,13,0.324215547025379,0.014953490514759004,0.38,0.9150120638046368,0.05922650658212309,0.92,0.27783960914322553,0.04378943204312203,0.22,0.19697034823818388,0.03251694369206284,0.14
resource_rich_connected,0.1043492344270766,0.009288135368060429,0.12,0.21398722787838154,0.018605378860136138,0.235,1.4210614657086373,0.12183998043827556,1.34,14,0.324215547025379,0.014953490514759004,0.38,0.9150120638046368,0.05922650658212309,0.92,0.27783960914322553,0.04378943204312203,0.22,0.19697034823818388,0.03251694369206284,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,15,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,16,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,17,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,18,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,19,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,20,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,21,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,22,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_rich_connected,0.103581561699289,0.009641878242475943,0.12,0.21413223350645263,0.018396831027746603,0.235,1.4180009989278566,0.11789642775856496,1.34,23,0.3224248504397637,0.01565840962136371,0.38,0.9157989745105306,0.06000671997089081,0.92,0.2737045317677249,0.04784976153380932,0.22,0.19467601533611512,0.03593476566389671,0.14
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,24,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,25,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,26,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,27,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,28,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,29,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,30,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,31,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,32,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,33,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,34,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,35,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,36,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,37,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,38,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,39,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,40,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,41,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,42,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,43,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,44,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,45,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,46,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10566252114364101,0.008698833064073527,0.055,0.21500664614115225,0.016914030158413793,0.185,1.4295801582112524,0.09093350020787601,1.63,47,0.3178921021152405,0.007694145422239185,0.25,0.885501246840841,0.06116559155907621,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20761884473035014,0.031239006521064313,0.31
resource_poor_fragmenting,0.10314761766578301,0.011096184182890096,0.055,0.21651170981127021,0.01754738433850038,0.185,1.4295801582112524,0.09093350020787601,1.63,48,0.3110547431962098,0.013062289077186253,0.25,0.8869911198014212,0.06157183898240864,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20632575842043782,0.03163218918560766,0.31
resource_poor_fragmenting,0.10314761766578301,0.011096184182890096,0.055,0.21651170981127021,0.01754738433850038,0.185,1.4295801582112524,0.09093350020787601,1.63,49,0.3110547431962098,0.013062289077186253,0.25,0.8869911198014212,0.06157183898240864,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20632575842043782,0.03163218918560766,0.31
resource_poor_fragmenting,0.10314761766578301,0.011096184182890096,0.055,0.21651170981127021,0.01754738433850038,0.185,1.4295801582112524,0.09093350020787601,1.63,50,0.3110547431962098,0.013062289077186253,0.25,0.8869911198014212,0.06157183898240864,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20632575842043782,0.03163218918560766,0.31
resource_poor_fragmenting,0.10314761766578301,0.011096184182890096,0.055,0.21651170981127021,0.01754738433850038,0.185,1.4295801582112524,0.09093350020787601,1.63,51,0.3110547431962098,0.013062289077186253,0.25,0.8869911198014212,0.06157183898240864,0.72,0.28712925272857287,0.02760126534411961,0.43,0.20632575842043782,0.03163218918560766,0.31
