generation,environment,reward_perspective,reward_control,reward_gain,perspective_closure,multiplicity_unity_distance,standpoint_persistence,action_source
65,perspective_C,0.5174776347492567,0.5174776347492567,0.0,True,0.22762123897452682,0.9972313018799707,perspective
66,perspective_C,0.5067003157507306,0.5067003157507306,0.0,True,0.23208143846501908,0.9972634244090223,perspective
67,perspective_C,0.513547522714409,0.513547522714409,0.0,True,0.23012278779860276,0.9972990530190072,perspective
68,perspective_C,0.5244440318326015,0.5244440318326015,0.0,True,0.23214719137487566,0.9973480278047169,perspective
69,perspective_C,0.5051944043726864,0.5051944043726864,0.0,True,0.23981006054110718,0.9973977417628482,perspective
70,perspective_C,0.5478295900942947,0.5478295900942947,0.0,True,0.23334390420849752,0.9974099033057771,perspective
71,perspective_C,0.5285662319714354,0.5285662319714354,0.0,True,0.24040877329763038,0.9974282726630709,perspective
72,perspective_A,0.7705584806856686,0.7705584806856686,0.0,True,0.26214471043500986,0.9974116044890609,perspective
73,perspective_A,0.7975173054671921,0.766636011541534,0.030881293925658082,True,0.2580513972226633,0.9974023628052043,perspective
74,perspective_A,0.8038046517296156,0.8034198427728015,0.00038480895681403116,True,0.2525763433601328,0.9973804951429345,perspective
75,perspective_A,0.8133239040108815,0.8129642965656123,0.0003596074452691944,True,0.2518847449933046,0.9974016147519736,perspective
76,perspective_A,0.7871475922458971,0.7868099914832165,0.0003376007626806343,True,0.2504793371837188,0.9974148313698661,perspective
77,perspective_A,0.8156040349322138,0.8152897720082737,0.0003142629239401007,True,0.2520771103124898,0.9974657221300173,perspective
78,perspective_A,0.7968018906020826,0.7965135961172065,0.000288294484876106,True,0.25311603985666764,0.9975076628400135,perspective
79,perspective_A,0.8277321716819517,0.8274711491334046,0.0002610225485470963,True,0.2540875246555874,0.9975485240462243,perspective
80,perspective_B,0.8039080904065059,0.8036841054190333,0.00022398498747255857,True,0.23722379320883413,0.9976084377536983,perspective
81,perspective_B,0.8135119075536182,0.8133204466644438,0.00019146088917443294,True,0.24080871824451355,0.9976713632464865,perspective
82,perspective_B,0.818050205341266,0.8178884046774023,0.0001618006638637315,True,0.24343559292727315,0.9977275911870047,perspective
83,perspective_B,0.8244917644500952,0.8243567680476953,0.00013499640239988953,True,0.24595337787510604,0.997776539950908,perspective
84,perspective_B,0.8203514422168554,0.8202409645908797,0.00011047762597571342,True,0.24382470706634368,0.9977622505649117,perspective
85,perspective_B,0.8101643092134505,0.8100756619348652,8.864727858526322e-05,True,0.24446043711805893,0.9977999886483397,perspective
86,perspective_B,0.8127868768582367,0.8127184546205164,6.842223772030032e-05,True,0.2478262891406724,0.997848616297735,perspective
87,perspective_B,0.8042508919846127,0.8042008646979029,5.00272867098861e-05,True,0.246410882983935,0.997874168186128,perspective
88,perspective_C,0.5745084277916613,0.5744751447198628,3.328307179850665e-05,True,0.23637708440190053,0.9979188131889031,perspective
89,perspective_C,0.5621173486167232,0.5620981471301263,1.9201486596953643e-05,True,0.24416614872902515,0.9979776827528909,perspective
90,perspective_C,0.56228763828432,0.5622810036630004,6.634621319667744e-06,True,0.24711617651324524,0.9980210285394538,perspective
91,perspective_C,0.546131854888639,0.5461353670831204,-3.5121944813587547e-06,True,0.24619096193287887,0.9980479258460422,perspective
92,perspective_C,0.5681710106188096,0.5681832175776231,-1.2206958813543167e-05,True,0.24405669128353702,0.9980682308160892,perspective
93,perspective_C,0.555101125321771,0.5551206014289773,-1.947610720631765e-05,True,0.24908088090792252,0.9981146809934054,perspective
94,perspective_C,0.5653080249667861,0.5653331153898882,-2.509042310205878e-05,True,0.25226744198029893,0.9981517235076314,perspective
95,perspective_C,0.525828991088172,0.5258576253694262,-2.8634281254102945e-05,True,0.2480727835565726,0.9981651220531803,perspective
96,perspective_C,0.5387925615246887,0.5388231886256767,-3.062710098800103e-05,True,0.2493494737256256,0.9981964994472424,perspective
