generation,environment,reward,maintenance,environment_match,world_coherent,organism_coherent,world_self_distance,world_self_corridor,self_mediator_strength,self_reference_reachable,organism_recurrent_coupling,policy_to_self_coupling,recurrent_rho,self_model_closure,self_model_action_used,self_model_action_intervention,action_source,chosen_candidate_index,candidate_count,prediction_error,persistence_baseline_error,policy_change_norm,memory_slots,mean_resource,retained_fraction,export_fraction,self_model_excess_export_norm,self_model_excess_exports_total
10,self_world_B,0.7813204751711116,0.5197647648377892,0.8309251736785285,True,True,0.8747392078379281,True,0.3654367226960125,False,1.217236316820767,0.6866529817989823,0.8986947369906007,False,False,False,model_free,0,5,,,0.07046553989952854,2,0.5288059007995612,0.9520663196957742,0.047933680304225845,0.0,0
11,self_world_B,0.7798420343301794,0.5035948571433425,0.8309251736785285,True,True,0.8621870085670329,True,0.36609966575831726,False,1.232382465312814,0.689903764787278,0.9143646896766701,False,False,False,model_free,0,5,,,3.529906531158615e-18,2,0.5125898744231661,0.9493138232961098,0.05068617670389004,0.0,0
12,self_world_B,0.7752863436430462,0.4929386131065948,0.8226641268669375,True,True,0.8548895789567024,True,0.36655420819898954,False,1.234580466683547,0.7173922693541104,0.9159352589279524,False,False,False,model_free,1,5,0.007616884939703385,0.00734621592541971,0.061647643263695796,2,0.5017723440477556,0.9476538194079394,0.052346180592060504,0.0,0
13,self_world_B,0.7770307858501353,0.4881719163858106,0.8302394317756987,True,True,0.8505262466534244,True,0.3669130237979847,True,1.2393715011611994,0.6845313113288655,0.9207127034133915,True,True,True,self_model,3,5,0.011095812621683111,0.01103218317094252,0.11,2,0.49714731716984745,0.9468472989561252,0.053152701043874685,0.0,0
14,self_world_B,0.7528848753967826,0.4817855924357845,0.788482575314106,True,True,0.8486142046390379,True,0.3670490784982862,True,1.2904308576208314,0.46210327496941456,0.9251745406544489,True,True,True,self_model,4,5,0.025746484128967035,0.024247412564118748,0.11000000000000001,2,0.49061167137916223,0.9459021910156264,0.054097808984373656,0.0,0
15,self_world_B,0.7330192441887953,0.4808198929005246,0.751941116621973,True,True,0.8462313969758577,True,0.3672859506230897,True,1.2574146899019207,0.7563369341140272,0.9265051916360276,True,True,True,self_model,1,5,0.021090396965174785,0.020587086707850463,0.11,2,0.48969348285348707,0.9458379194261279,0.0541620805738722,0.0,0
16,self_world_C,0.45070747364887087,0.46774300009464587,0.21595123924715998,True,True,0.7941822518334394,True,0.21652491440983046,True,1.2622582322177287,0.7759045245004836,0.9300651530812554,True,True,True,self_model,2,5,0.023056240431038176,0.013333923816378958,0.06725239606790806,3,0.4764025113779313,0.9438141925482904,0.05618580745170944,0.0,0
17,self_world_C,0.4575724007895654,0.46302440720695814,0.23215008313043098,True,True,0.7867196341732919,True,0.21749356583244417,True,1.285635217954179,0.7801956262931402,0.9449994298041617,True,True,True,self_model,4,5,0.011540295648001193,0.006037308953539837,0.07490024811427243,3,0.47168845581935,0.9431086963103017,0.056891303689698275,0.0,0
18,self_world_C,0.441029933591287,0.46005198593342317,0.2016671471238831,True,True,0.7841598373040854,True,0.21785769050419437,True,1.295544533318123,0.691389158681359,0.9452247338435698,True,False,False,model_free,1,5,0.009197187810690692,0.005803415667324353,0.09409165115034415,3,0.46869645776410634,0.942747013232437,0.05725298676756291,0.0,0
19,self_world_C,0.4516853845405058,0.46067364155250506,0.22243909782428675,True,True,0.7826476569415792,True,0.21811379662377162,True,1.307929158577905,0.6718799136078145,0.9498365891427777,True,False,False,model_free,0,5,0.007748077266365648,0.0036032932502295667,0.10248486079920512,3,0.46932975364740376,0.9431207329889585,0.05687926701104153,0.0,0
20,self_world_C,0.45270858513601303,0.46589650118972753,0.22243909782428675,True,True,0.7832503748224832,True,0.21813898067206303,True,1.3201332899963327,0.6632693365641744,0.9519314317390732,True,False,False,model_free,0,5,0.006158105360178647,0.0028992025273102094,0.0,3,0.47462727493561535,0.9443482850430134,0.05565171495698668,0.0,0
21,self_world_C,0.46763870229183324,0.4774199659949237,0.2450463296795121,True,True,0.7865033740055954,True,0.21784770058948005,True,1.3244286490236556,0.6808973818203621,0.9542417720162288,True,False,False,model_free,1,5,0.009966367232675943,0.008477003633075197,0.07426790031742414,3,0.48649960885552096,0.9465280881882023,0.053471911811797536,0.0,0
22,self_world_C,0.4623220588299256,0.48443115016448,0.2312534401286332,True,True,0.7934229026059744,True,0.21708407512088743,True,1.331541482564316,0.684989585063441,0.9557059780763275,True,False,False,model_free,0,5,0.004770020487182127,0.004426750008096012,0.04604609819680298,3,0.49376527549606264,0.9477862885075639,0.05221371149243609,0.0,0
23,self_world_C,0.4634180832409395,0.4888164891204315,0.2312534401286332,True,True,0.7977192897251291,True,0.21661957434839077,True,1.3375736400124063,0.6898843650445068,0.9567869365338895,True,False,False,model_free,0,5,0.0029952301453496258,0.002657051762412285,0.0,3,0.498426712952811,0.9484867705095921,0.05151322949040797,0.0,0
24,self_world_A,0.7213648268956805,0.5307317986158769,0.7070271198216581,True,True,0.9324153430474861,True,0.5992296615527558,True,1.3703407161524546,0.6671118082478723,0.9782094828014976,True,False,False,model_free,1,5,0.024690992025789064,0.034345478145663834,0.10999999999999999,3,0.5415277513802745,0.9544264178251725,0.04557358217482743,0.0,0
25,self_world_A,0.6776239502861152,0.5551295946340923,0.612043985676558,True,True,0.9338236153008995,True,0.60369224531815,True,1.3838170479892808,0.7005108441376925,0.9879475350966381,True,True,True,self_model,1,5,0.020755188399880744,0.024750762428977117,0.10999999999999999,3,0.5666211496675292,0.9576299907514632,0.0423700092485369,0.0,0
26,self_world_A,0.7568490029716302,0.5707675957064232,0.7564661134577666,True,True,0.9361855777383495,True,0.6062209545388951,True,1.3797200671384384,0.722092375869213,0.9891048906520665,True,True,True,self_model,1,5,0.01708659560186943,0.01281823129381754,0.10999999999999999,3,0.5827153050512882,0.9594745183792016,0.04052548162079828,0.0,0
27,self_world_A,0.7344370701792564,0.5812090316156487,0.7094272259408552,True,True,0.9381803666086572,True,0.6077860454212566,True,1.382227147619959,0.8503537173101758,0.9907384634783416,True,True,True,self_model,1,5,0.025006822920959064,0.021845254622850526,0.09790793875847262,3,0.5935790201442798,0.9606309071182745,0.03936909288172545,0.0,0
28,self_world_A,0.7512933554933999,0.5901864611777782,0.737055564592889,True,True,0.9397312879346452,True,0.6088186511557839,True,1.3838324573996337,0.8610157588549017,0.9914090615246665,True,True,True,self_model,1,5,0.02982550984141498,0.030643007549017456,0.11,3,0.6028652281481556,0.9616140097244468,0.03838599027555335,0.0,0
29,self_world_A,0.7435402391284921,0.5975723379334528,0.7181010714235732,True,True,0.94124699705626,True,0.6096998933062825,True,1.382045408028277,0.8615573153862641,0.9913242757258084,True,True,True,self_model,3,5,0.01231933237000046,0.004383667606510209,0.05518717591638939,3,0.6105424070258835,0.9624822078924655,0.037517792107534476,0.0,0
30,self_world_A,0.6943463899916693,0.6031684408579391,0.6215561560987007,True,True,0.9426840631906828,True,0.610443325171636,True,1.383445077562456,0.8794411806485523,0.9920221522064077,True,True,True,self_model,4,5,0.016214123869441998,0.012898106360134168,0.10925977737641544,3,0.616449832756995,0.9632067845209271,0.03679321547907266,0.0,0
31,self_world_A,0.7469319565836647,0.6062943303225274,0.7217340465161839,True,True,0.9439174123859002,True,0.6110305219545532,True,1.3823154194064111,0.8901720718845493,0.9918627413563459,True,True,True,self_model,2,5,0.02729962533580733,0.024476677465702153,0.11,3,0.6197421292019355,0.9635184962149291,0.03648150378507074,0.0,0
32,self_world_B,0.7884140925762745,0.5807526799617738,0.8146218020308661,True,True,0.9080723988935392,True,0.36282116818281157,True,1.4044272954873973,0.8949409572247404,0.9918885714204843,True,True,True,self_model,4,5,0.01013930815133495,0.022156908952505817,0.07124751461983325,3,0.5937973927702925,0.9607327039909803,0.039267296009019674,0.0,0
33,self_world_B,0.7920838371513261,0.5653403203711427,0.8309251736785285,True,True,0.8936708430399436,True,0.3638865997976647,True,1.411273513675436,0.8818827899770093,0.9918039092786652,True,True,False,self_model,0,5,0.011200727168098928,0.009989239374654799,0.059215195923079174,3,0.5781686765260347,0.9590114728792889,0.04098852712071106,0.0,0
34,self_world_B,0.7965545155582952,0.5570209656887112,0.8466378265237056,True,True,0.8855623123220095,True,0.3645349397387477,True,1.4039937543140055,0.8848716569868135,0.9920980601255748,True,True,True,self_model,1,5,0.005830739885153924,0.007544347475940902,0.05329275337997169,3,0.5698023143701446,0.9581187134127234,0.04188128658727681,0.0,0
35,self_world_B,0.8067337011718219,0.5533509729100593,0.8684636965846474,True,True,0.8814303863708136,True,0.36489896244874453,True,1.3983453951313085,0.8803360584616179,0.9921139271158439,True,True,True,self_model,3,5,0.01140095071334665,0.006330439200086865,0.050129832055467366,3,0.5662462947317107,0.9576727263820785,0.04232727361792144,0.0,0
36,self_world_B,0.8172776650100108,0.5529092246687293,0.8901730081448715,True,True,0.8796252010678256,True,0.3650403878943322,True,1.4206735455003714,0.8735192134377608,0.9923044504657036,True,True,True,self_model,4,5,0.02188435501363133,0.022845116441693854,0.07603426225512916,3,0.5660932750988039,0.9576876466212034,0.04231235337879671,0.0,0
37,self_world_B,0.7982188841969573,0.5520049141844181,0.8574414957563843,True,True,0.8795235291136971,True,0.36506794549579097,True,1.4143915566822842,0.796286703432121,0.9923005115026511,True,True,True,self_model,3,5,0.00976372135828481,0.007567169039072553,0.05731049383379256,3,0.565445539766537,0.9575465738273593,0.042453426172640536,0.0,0
